year,1,2,3,4,5,6,7,8,9,10
2007,833,798,789,820,947,952,911,902,928,1037
2008,1909,1648,1690,1688,1760,1736,1926,1776,1720,2015
2009,3168,3420,3438,3426,3442,3509,3761,3615,3750,4079
2010,3912,4266,4317,4682,5137,4685,5230,5386,5514,6992
2011,4580,4961,4996,4927,5126,4935,5420,5561,6153,6976
2012,4904,5595,5628,5960,6572,6328,7172,7185,8142,9692
2013,6286,7478,8034,8240,9368,8798,11305,10517,12494,14743
2014,8143,10125,10414,11142,12198,11545,14777,13802,16330,19430
2015,9737,12198,13457,14297,16104,14272,17456,16448,17930,19330
2016,11334,15424,16749,17581,20230,20091,21711,20268,20883,22413
2017,13167,16283,17070,18540,20439,19780,22404,21104,22195,23511
2018,17684,22131,23222,26542,29343,30066,36522,34575,35746,36618
2019,23547,28999,30464,36318,37865,37192,46390,41708,46313,43523
2020,29278,36913,38282,45196,48543,47178,61518,56304,62536,57160
