SHEF_A,No Photo,Photo
Abandoned Vehicles,6774.0,5198.0
Accumulated Litter,1303.0,560.0
Barriers/Bollards on RoW,143.0,66.0
Benches/Bicycle Racks,35.0,18.0
Bin Collection,22.0,8.0
Bin Repair/Replacement,193.0,145.0
Blocked Drains,7937.0,2727.0
Bridge/Culvert Defects,615.0,197.0
Broken Fire Hydrant,,1.0
Broken Kerbs,466.0,232.0
Bus Stops Damage,813.0,445.0
C.C.T.V Faults,,1.0
Countryside RoW,,1.0
Dead Animals,1031.0,104.0
Debris/Spillage,368.0,65.0
Demo,1.0,5.0
Discarded Syringes,16.0,5.0
Dog Fouling,2028.0,1267.0
Dog Litter Bin,32.0,17.0
Environmental Health,66.0,11.0
Fallen/Dangerous Trees,5893.0,2491.0
Fences,23.0,9.0
Flooding,2611.0,674.0
Fly-tipping,26808.0,37593.0
Flyposting,814.0,538.0
Garden Waste,37.0,128.0
Gates/Stiles RoW,62.0,23.0
General Highways Enquiries,892.0,301.0
Graffiti,2684.0,4225.0
Grass/Weed Control,2604.0,762.0
Grids and Drains,48.0,20.0
Grit Bins,317.0,18.0
Gritting,6.0,1.0
Grounds Maintenance,3.0,2.0
Gullies,1067.0,340.0
Gully/Manhole Defects,356.0,213.0
Highway Condition,10483.0,5776.0
Highway Drainage,32.0,17.0
Ice & Snow,70.0,8.0
Leafing,165.0,120.0
Lewisham Homes,43.0,138.0
Litter/Litter Bin,1958.0,1345.0
Manhole Covers,1640.0,342.0
Manhole Defects,71.0,11.0
Missed Bin Collection,317.0,318.0
Noise,11.0,1.0
Obstruction,4688.0,1354.0
Open Spaces/Parks,2953.0,3076.0
Other,19104.0,5784.0
Overgrown Vegetation,7011.0,2238.0
Parking,3728.0,4207.0
Pavement /Footway Defects,11056.0,10434.0
Pest Control,4.0,
Phoenix HA,3.0,27.0
Potholes,45729.0,13310.0
Property Damage,9.0,3.0
Public Toilets,82.0,52.0
Recycling,70.0,28.0
Retaining Wall,36.0,27.0
Right of Way,692.0,819.0
Road Markings,3512.0,1165.0
Road Safety,258.0,15.0
Road Surface Defects,12175.0,4437.0
Road Works,738.0,108.0
Road/Pavement Defects,262.0,44.0
Rubbish,3812.0,4555.0
Salt Bins,159.0,
Shopping Trolley,90.0,135.0
Skips,3.0,4.0
Spillage on Road,231.0,35.0
Street Cleaning,11148.0,7829.0
Street Furniture,571.0,146.0
Street Lights,31498.0,6201.0
Street Name Plates,735.0,465.0
Street Signs,6895.0,3058.0
Trade Waste,22.0,75.0
Traffic Lights,3171.0,395.0
Trees and Hedges RoW,601.0,343.0
Trees on RoW,74.0,57.0
Trip Hazard,830.0,257.0
Utility Works,350.0,109.0
Vehicle Access,2.0,
Zebra Crossing,1.0,
