SHEF_B,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,1423.0,1160.0,1030.0,691.0,846.0,1041.0,1200.0,1333.0,1438.0,1356.0,1294.0,964.0
Bin Replacement,61.0,58.0,42.0,64.0,50.0,89.0,53.0,58.0,71.0,50.0,60.0,43.0
Bridge/Culvert Defects,123.0,153.0,86.0,76.0,110.0,102.0,75.0,96.0,91.0,136.0,123.0,174.0
Bus Stops Damage,124.0,135.0,100.0,32.0,66.0,69.0,72.0,91.0,82.0,101.0,103.0,110.0
Dangerous Building/Structure,,,5.0,8.0,9.0,12.0,11.0,11.0,17.0,23.0,15.0,5.0
Dog Fouling,530.0,470.0,428.0,206.0,182.0,213.0,229.0,220.0,247.0,258.0,313.0,363.0
Drainage,2378.0,3175.0,1694.0,799.0,786.0,2077.0,1481.0,2866.0,1556.0,2735.0,1974.0,2820.0
Environmental Health,161.0,169.0,139.0,120.0,132.0,180.0,213.0,166.0,193.0,168.0,160.0,104.0
Fences,12.0,14.0,8.0,3.0,3.0,12.0,10.0,10.0,13.0,5.0,9.0,9.0
Gritting,84.0,26.0,9.0,2.0,8.0,8.0,11.0,9.0,14.0,12.0,20.0,100.0
Grounds Maintenance,148.0,169.0,128.0,74.0,109.0,219.0,282.0,266.0,319.0,286.0,254.0,210.0
Highways Enquiries,2053.0,2488.0,1649.0,621.0,912.0,1408.0,1488.0,1718.0,1595.0,1596.0,1473.0,1540.0
Incivilities,1228.0,972.0,877.0,497.0,696.0,1061.0,1058.0,984.0,1110.0,955.0,1340.0,1098.0
Open Spaces/Parks,457.0,497.0,420.0,446.0,901.0,927.0,875.0,814.0,748.0,496.0,516.0,445.0
Other,3094.0,2505.0,1560.0,1096.0,1695.0,2105.0,2293.0,2375.0,2173.0,2083.0,1942.0,1789.0
Overgrown/Fallen Veg/Trees,1272.0,2533.0,1065.0,1044.0,3238.0,4491.0,4551.0,4256.0,3558.0,2566.0,1969.0,1400.0
Parking,909.0,894.0,711.0,316.0,519.0,806.0,989.0,1101.0,1192.0,1097.0,1030.0,748.0
Pavement /Footway Defects,1526.0,1597.0,1096.0,663.0,1256.0,1736.0,1887.0,1872.0,2031.0,1724.0,1658.0,1425.0
Property Damage,,1.0,1.0,1.0,,,,,,,,
Public Toilets,5.0,11.0,6.0,15.0,7.0,7.0,18.0,9.0,19.0,10.0,15.0,7.0
Retaining Wall,4.0,7.0,6.0,4.0,3.0,4.0,11.0,7.0,12.0,4.0,6.0,9.0
Right of Way,1457.0,1793.0,971.0,648.0,1092.0,1532.0,1679.0,1653.0,1703.0,1390.0,1244.0,1051.0
Road Safety,2416.0,2564.0,1596.0,848.0,1225.0,1666.0,1818.0,1891.0,2067.0,1986.0,1996.0,1670.0
Road Surface Defects,18402.0,19362.0,17182.0,4127.0,5147.0,6000.0,5922.0,5638.0,6211.0,6612.0,6995.0,8229.0
Rubbish,10433.0,8751.0,8230.0,7963.0,10086.0,11354.0,11921.0,11347.0,11841.0,10051.0,11416.0,9571.0
Street Furniture,1557.0,1188.0,1124.0,898.0,1261.0,1475.0,1610.0,1670.0,1672.0,1529.0,1981.0,1683.0
Street Lights,5800.0,4269.0,2754.0,1500.0,1760.0,1641.0,2033.0,2736.0,3714.0,4941.0,5633.0,4621.0
Utility Works,94.0,80.0,68.0,67.0,43.0,78.0,109.0,78.0,104.0,111.0,72.0,79.0
