authority_type,None of the above,A community group ,A political group ,Both community as well as political group,Don’t want to answer
Central Government,793.0,331.0,121.0,143.0,50.0
Local and regional,1536.0,879.0,199.0,312.0,88.0
Education,353.0,173.0,34.0,47.0,24.0
Environment,59.0,34.0,5.0,13.0,5.0
Health,304.0,129.0,45.0,49.0,17.0
Media and Culture,44.0,19.0,15.0,6.0,3.0
Military and Security Services,189.0,78.0,23.0,14.0,17.0
Emergency services and the courts,171.0,72.0,26.0,23.0,13.0
Transport,275.0,98.0,16.0,16.0,13.0
Don’t want to answer,27.0,4.0,,3.0,15.0
Other,322.0,130.0,35.0,44.0,47.0
