year,Only yourself or your family,"Only other people, but not yourself or your family","Yourself or your family, as well as others like you",All people in the community,All people in the nation or all people in the world,Don’t know,Don’t want to answer
2012,81,29,208,572,182,41,13
2013,98,28,210,456,134,25,15
2014,74,13,130,350,99,21,11
2015,119,21,179,383,102,32,10
2016,136,22,174,377,98,37,13
2017,139,25,170,367,108,36,12
2018,117,27,137,344,124,28,11
2019,92,15,121,266,105,26,13
2020,94,17,121,243,117,25,11
